,Postcode,Borough,Neighbourhood
1,M1B,Scarborough,"Rouge, Malvern"
2,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
3,M1E,Scarborough,"Guildwood, Morningside, West Hill"
4,M1G,Scarborough,Woburn
5,M1H,Scarborough,Cedarbrae
6,M1J,Scarborough,Scarborough Village
7,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park"
8,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
9,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West"
10,M1N,Scarborough,"Birch Cliff, Cliffside West"
11,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
12,M1R,Scarborough,"Maryvale, Wexford"
13,M1S,Scarborough,Agincourt
14,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter"
15,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East"
16,M1W,Scarborough,L'Amoreaux West
17,M1X,Scarborough,Upper Rouge
25,M2H,North York,Hillcrest Village
26,M2J,North York,"Fairview, Henry Farm, Oriole"
27,M2K,North York,Bayview Village
28,M2L,North York,"Silver Hills, York Mills"
29,M2M,North York,"Newtonbrook, Willowdale"
30,M2N,North York,Willowdale South
31,M2P,North York,York Mills West
32,M2R,North York,Willowdale West
40,M3A,North York,Parkwoods
41,M3B,North York,Don Mills North
42,M3C,North York,"Flemingdon Park, Don Mills South"
45,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights"
46,M3J,North York,"Northwood Park, York University"
47,M3K,North York,"CFB Toronto, Downsview East"
48,M3L,North York,Downsview West
49,M3M,North York,Downsview Central
50,M3N,North York,Downsview Northwest
60,M4A,North York,Victoria Village
61,M4B,East York,"Woodbine Gardens, Parkview Hill"
62,M4C,East York,Woodbine Heights
63,M4E,East Toronto,The Beaches
64,M4G,East York,Leaside
65,M4H,East York,Thorncliffe Park
66,M4J,East York,East Toronto
67,M4K,East Toronto,"The Danforth West, Riverdale"
68,M4L,East Toronto,"The Beaches West, India Bazaar"
69,M4M,East Toronto,Studio District
70,M4N,Central Toronto,Lawrence Park
71,M4P,Central Toronto,Davisville North
72,M4R,Central Toronto,North Toronto West
73,M4S,Central Toronto,Davisville
74,M4T,Central Toronto,"Moore Park, Summerhill East"
75,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West"
76,M4W,Downtown Toronto,Rosedale
77,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
78,M4Y,Downtown Toronto,Church and Wellesley
80,M5A,Downtown Toronto,"Harbourfront, Regent Park"
81,M5B,Downtown Toronto,"Ryerson, Garden District"
82,M5C,Downtown Toronto,St. James Town
83,M5E,Downtown Toronto,Berczy Park
84,M5G,Downtown Toronto,Central Bay Street
85,M5H,Downtown Toronto,"Adelaide, King, Richmond"
86,M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station"
87,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
88,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
89,M5M,North York,"Bedford Park, Lawrence Manor East"
90,M5N,Central Toronto,Roselawn
91,M5P,Central Toronto,"Forest Hill North, Forest Hill West"
92,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
93,M5S,Downtown Toronto,"Harbord, University of Toronto"
94,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
95,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara"
96,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
97,M5X,Downtown Toronto,"First Canadian Place, Underground city"
100,M6A,North York,"Lawrence Heights, Lawrence Manor"
101,M6B,North York,Glencairn
102,M6C,York,Humewood-Cedarvale
103,M6E,York,Caledonia-Fairbanks
104,M6G,Downtown Toronto,Christie
105,M6H,West Toronto,"Dovercourt Village, Dufferin"
106,M6J,West Toronto,"Little Portugal, Trinity"
107,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village"
108,M6L,North York,"Downsview, North Park, Upwood Park"
109,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn"
110,M6N,York,"The Junction North, Runnymede"
111,M6P,West Toronto,"High Park, The Junction South"
112,M6R,West Toronto,"Parkdale, Roncesvalles"
113,M6S,West Toronto,"Runnymede, Swansea"
120,M7A,Queen's Park,Queen's Park
132,M7R,Mississauga,Canada Post Gateway Processing Centre
138,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
155,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto"
156,M8W,Etobicoke,"Alderwood, Long Branch"
157,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
158,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
159,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor"
160,M9A,Etobicoke,Islington Avenue
161,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park"
162,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe"
168,M9L,North York,Humber Summit
169,M9M,North York,"Emery, Humberlea"
170,M9N,York,Weston
171,M9P,Etobicoke,Westmount
172,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips"
175,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
176,M9W,Etobicoke,Northwest
